minutes,symbol,year,absolute_simple_cutoff,bars,up_count,down_count
5,000852.SH,2021,0.001,11178,1848,1829
5,000852.SH,2021,0.002,11178,537,570
5,000852.SH,2021,0.005,11178,28,28
5,000852.SH,2021,0.01,11178,2,3
5,000852.SH,2022,0.001,11132,2443,2601
5,000852.SH,2022,0.002,11132,1012,1004
5,000852.SH,2022,0.005,11132,87,59
5,000852.SH,2022,0.01,11132,8,5
5,000852.SH,2023,0.001,11132,1452,1491
5,000852.SH,2023,0.002,11132,329,298
5,000852.SH,2023,0.005,11132,5,2
5,000852.SH,2023,0.01,11132,0,0
5,000852.SH,2024,0.001,11132,2753,2846
5,000852.SH,2024,0.002,11132,1285,1273
5,000852.SH,2024,0.005,11132,182,184
5,000852.SH,2024,0.01,11132,23,16
5,000852.SH,2025,0.001,11178,2191,2094
5,000852.SH,2025,0.002,11178,737,764
5,000852.SH,2025,0.005,11178,63,33
5,000852.SH,2025,0.01,11178,2,2
5,000688.SH,2021,0.001,11178,2536,2684
5,000688.SH,2021,0.002,11178,1129,1122
5,000688.SH,2021,0.005,11178,123,98
5,000688.SH,2021,0.01,11178,8,3
5,000688.SH,2022,0.001,11132,2707,3086
5,000688.SH,2022,0.002,11132,1375,1399
5,000688.SH,2022,0.005,11132,203,131
5,000688.SH,2022,0.01,11132,9,1
5,000688.SH,2023,0.001,11132,2209,2322
5,000688.SH,2023,0.002,11132,878,736
5,000688.SH,2023,0.005,11132,56,37
5,000688.SH,2023,0.01,11132,0,0
5,000688.SH,2024,0.001,11132,2844,3136
5,000688.SH,2024,0.002,11132,1498,1464
5,000688.SH,2024,0.005,11132,281,220
5,000688.SH,2024,0.01,11132,47,37
5,000688.SH,2025,0.001,11178,2803,2824
5,000688.SH,2025,0.002,11178,1437,1347
5,000688.SH,2025,0.005,11178,253,200
5,000688.SH,2025,0.01,11178,20,14
